city,gu,dong,park_name,park_type,park_area,park_exercise_facility,park_entertainment_facility,park_benefit_facility,park_cultural_facitiy,park_facility_other,park_open_year,reference_date
부산광역시,남구,대연동,대연공원,근린공원,55227.0,,,,,,1944.0,2018-08-14
부산광역시,남구,대연동,당곡공원,역사공원,75465.0,,,,,,1944.0,2018-08-14
부산광역시,남구,대연동,대일어린이공원,어린이공원,422.1,,,,,,1965.0,2018-08-14
부산광역시,남구,대연동,못골어린이공원,어린이공원,499.8,,,,,,1968.0,2018-08-14
부산광역시,남구,용호동,솔밭어린이공원,어린이공원,1500.2,,,,,,1970.0,2018-08-14
부산광역시,남구,대연동,UN공원,묘지공원,176486.0,,,,,,1971.0,2018-08-14
부산광역시,남구,문현동,지게골어린이공원,어린이공원,1654.0,,,,,,1971.0,2018-08-14
부산광역시,남구,문현동,문현어린이공원,어린이공원,364.0,,,,,,1971.0,2018-08-14
부산광역시,남구,문현동,개나리어린이공원,어린이공원,370.0,,,,,,1971.0,2018-08-14
부산광역시,남구,문현동,통일동산어린이공원,어린이공원,479.0,,,,,,1971.0,2018-08-14
부산광역시,남구,용호동,이기대공원,수변공원,1924935.0,,,,,,1986.0,2018-08-14
부산광역시,남구,대연동,대연2공원,근린공원,51000.0,,,,,,1995.0,2018-08-14
부산광역시,남구,용호동,용호공원,근린공원,10052.0,,,,,,1997.0,2018-08-14
부산광역시,남구,용호동,가로공원,근린공원,13398.0,,,,,,1997.0,2018-08-14
부산광역시,남구,문현동,어린이공원,어린이공원,2157.0,,,,,,2006.0,2018-08-14
부산광역시,남구,문현동,어린이공원,어린이공원,1608.0,,,,,,2006.0,2018-08-14
부산광역시,남구,대연동,어린이공원,어린이공원,2017.0,,,,,,2006.0,2018-08-14
부산광역시,남구,우암동,우암1어린이공원,어린이공원,3953.0,,,,,,2006.0,2018-08-14
부산광역시,남구,우암동,우암2소공원,소공원,660.0,,,,,,2006.0,2018-08-14
부산광역시,남구,대연동,소공원,소공원,283.0,,,,,,2006.0,2018-08-14
부산광역시,남구,대연동,어린이공원,어린이공원,1625.0,,,,,,2006.0,2018-08-14
부산광역시,남구,대연동,어린이공원,어린이공원,1864.6,,,,,,2006.0,2018-08-14
부산광역시,남구,대연동,평화공원,근린공원,32015.0,,,,,,2004.0,2018-08-14
부산광역시,남구,용호동,어린이공원,어린이공원,2118.8,,,,,,2004.0,2018-08-14
부산광역시,남구,감만동,어린이공원,어린이공원,4247.0,,,,,,2007.0,2018-08-14
부산광역시,남구,감만동,어린이공원,어린이공원,8562.0,,,,,,2007.0,2018-08-14
부산광역시,남구,우암동,소공원,소공원,1269.0,,,,,,2007.0,2018-08-14
부산광역시,남구,용호동,오륙도해맞이소공원,소공원,10659.0,,,,,,2008.0,2018-08-14
부산광역시,남구,문현동,소공원,소공원,4175.0,,,,,,2008.0,2018-08-14
부산광역시,남구,우암동,소공원,소공원,650.0,,,,,,2008.0,2018-08-14
부산광역시,남구,문현동,문화공원A,문화공원,3543.0,,,,,,2008.0,2018-08-14
부산광역시,남구,대연동,문화공원,문화공원,6811.0,,,,,,2008.0,2018-08-14
부산광역시,남구,대연동,대연혁신도시 어린이공원,어린이공원,4330.6,,,,,,2008.0,2018-08-14
부산광역시,남구,대연동,대동골소공원,소공원,1227.0,,,,,,2012.0,2018-08-14
부산광역시,남구,문현동,문화공원B,문화공원,2257.0,,,,,,2013.0,2018-08-14
부산광역시,남구,감만동,감만당집마루 소공원,소공원,1193.0,,,,,,2014.0,2018-08-14
부산광역시,남구,용당동,무제등소공원,소공원,4955.0,,,,,,2016.0,2018-08-14
부산광역시,남구,대연동,소공원,소공원,2310.0,,,,,,2012.0,2018-08-14
부산광역시,연제구,연산동,강변공원,소공원,196.8,,,,,벤치 등,2014.0,2018-04-04
부산광역시,연제구,연산동,토곡근린공원,근린공원,18854.0,,,,,파고라 및 체력단련시설 등,1984.0,2018-04-04
부산광역시,연제구,연산동,연천공원,소공원,1908.0,,,,,파고라 및 체력단련시설 등,2009.0,2018-04-04
부산광역시,연제구,연산동,월륜공원,소공원,1044.0,,,,,파고라 및 벤치 등,2012.0,2018-04-04
부산광역시,연제구,연산동,연이공원,소공원,818.4,,,,,파고라 및 벤치 등,2010.0,2018-04-04
부산광역시,연제구,연산동,옛골공원,소공원,2764.0,,,,,파고라 및 체력단련시설 등,2006.0,2018-04-04
부산광역시,연제구,연산동,쌍미공원,소공원,1209.0,,,,,파고라 및 벤치 등,2006.0,2018-04-04
부산광역시,연제구,연산동,연화공원,소공원,2127.0,,,,,체력단련시설 및 벤치 등,2006.0,2018-04-04
부산광역시,연제구,연산동,한들공원,어린이공원,3369.9,,조합놀이대 등,,,파고라 및 체력단련시설 등,2009.0,2018-04-04
부산광역시,연제구,연산동,한빛공원,어린이공원,1515.0,,조합놀이대 등,,,파고라 및 체력단련시설 등,2006.0,2018-04-04
부산광역시,연제구,연산동,햇살공원,어린이공원,1610.0,,,,,파고라 및 체력단련시설 등,1990.0,2018-04-04
